invoice_id,vendor_id,vendor_state,vendor_tier,vendor_registration_date,vendor_age_years,disaster_program,category,item,unit,quantity,unit_price,reference_unit_price,price_deviation,total_amount,invoice_datetime,payment_mode,is_anomaly_test_label,anomaly_type_test_only
INV-000011,VEND-0568,Himachal Pradesh,core,2018-02-19,7.351,Assam Flood Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,4,718.25,635.12,0.1309,2873,2025-06-27 10:22:30,Bank Transfer (NEFT),0,
INV-000012,VEND-0594,Maharashtra,regular,2020-12-11,4.392,Maharashtra Drought Relief 2025,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,17,1185.98,1052.55,0.1268,20161.66,2025-05-03 16:38:32,Bank Transfer (RTGS),0,
INV-000013,VEND-0389,West Bengal,core,2025-02-07,0.526,Assam Flood Relief 2025,Shelter & NFI,Solar Lantern,unit,27,705.61,689.4,0.0235,19051.47,2025-08-18 10:19:25,UPI,0,
INV-000014,VEND-0525,Himachal Pradesh,core,2021-08-05,3.633,Maharashtra Drought Relief 2025,Logistics & Transport,Diesel (litre),litre,396,110.64,106.43,0.0396,43813.44,2025-03-24 16:55:51,Bank Transfer (NEFT),0,
INV-000015,VEND-0308,Maharashtra,regular,2018-06-06,8.088,Assam Flood Relief 2026,WASH,Water Purification Tablet (strip),strip,127,15.9,16.66,-0.0456,2019.3,2026-07-08 12:20:07,Bank Transfer (RTGS),0,
INV-000016,VEND-0647,Odisha,core,2019-12-12,6.595,Assam Flood Relief 2026,Shelter & NFI,Blanket,unit,15,318.01,328.18,-0.031,4770.15,2026-07-17 12:18:19,UPI,0,
INV-000017,VEND-0526,West Bengal,regular,2015-03-21,10.3,Maharashtra Drought Relief 2025,Food & Nutrition,Cooking Oil (litre),litre,1425,145.36,144.08,0.0089,207138,2025-07-08 20:05:55,Bank Transfer (NEFT),0,
INV-000018,VEND-0525,Himachal Pradesh,core,2021-08-05,4.983,Himachal Cloudburst Relief 2026,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,72,500.32,472.43,0.059,36023.04,2026-07-30 15:28:06,Cheque,0,
INV-000019,VEND-0363,Odisha,core,2021-05-24,5.117,Assam Flood Relief 2026,Shelter & NFI,Sleeping Mat,unit,20,235.4,231.08,0.0187,4708,2026-07-06 12:24:11,Bank Transfer (NEFT),0,
INV-000020,VEND-0273,Himachal Pradesh,core,2014-02-19,11.431,Assam Flood Relief 2025,WASH,Bleaching Powder (kg),kg,179,75.59,70.27,0.0757,13530.61,2025-07-26 10:45:50,Bank Transfer (NEFT),0,
INV-000021,VEND-0011,Bihar,regular,2019-03-08,6.084,Maharashtra Drought Relief 2025,Food & Nutrition,Ready-to-eat Meal Packet,packet,61,64.31,65.76,-0.022,3922.91,2025-04-07 11:48:18,Bank Transfer (NEFT),0,
INV-000022,VEND-0096,Maharashtra,regular,2016-12-11,8.504,Maharashtra Drought Relief 2025,Medical & Health,Paracetamol Strip (10 tabs),strip,85,12.76,13.36,-0.0449,1084.6,2025-06-13 11:15:38,Cheque,0,
INV-000023,VEND-0020,Kerala,regular,2021-10-14,4.728,Assam Flood Relief 2026,WASH,Jerry Can 20L,unit,14,202.45,202.35,0.0005,2834.3,2026-07-07 14:10:16,Bank Transfer (NEFT),0,
INV-000024,VEND-0290,Assam,core,2016-12-10,8.621,Assam Flood Relief 2025,Shelter & NFI,Family Tent,unit,14,4828.13,4656.76,0.0368,67593.82,2025-07-25 6:38:04,UPI,0,
INV-000025,VEND-0519,Assam,core,2019-07-26,6.965,Bihar Flood Relief 2026,Medical & Health,Paracetamol Strip (10 tabs),strip,87,13.3,13.5,-0.0148,1157.1,2026-07-13 12:47:13,Bank Transfer (NEFT),0,
INV-000026,VEND-0088,Kerala,regular,2014-11-10,10.702,Kerala Landslide Relief 2025,Clothing & Bedding,Winter Jacket,unit,16,691.2,682.88,0.0122,11059.2,2025-07-24 11:36:17,Bank Transfer (NEFT),0,
INV-000027,VEND-0462,Kerala,core,2018-02-12,7.381,Assam Flood Relief 2025,Logistics & Transport,Diesel (litre),litre,443,108.26,102.93,0.0518,47959.18,2025-07-01 14:51:16,Bank Transfer (NEFT),0,
INV-000028,VEND-0401,Odisha,regular,2022-04-24,4.17,Bihar Flood Relief 2026,Medical & Health,ORS + Zinc Kit,kit,24,50.22,43.52,0.154,1205.28,2026-06-25 8:58:19,UPI,0,
INV-000029,VEND-0458,Maharashtra,regular,2024-12-28,0.331,Maharashtra Drought Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,17,535.85,621.87,-0.1383,9109.45,2025-04-28 17:16:37,UPI,1,new_vendor_large_order
INV-000030,VEND-0425,Bihar,regular,2022-10-07,2.773,Maharashtra Drought Relief 2025,Food & Nutrition,Rice (kg),kg,186,37.68,38.51,-0.0216,7008.48,2025-07-16 9:24:26,Bank Transfer (NEFT),0,
INV-000031,VEND-0049,Himachal Pradesh,regular,2016-10-19,9.73,Assam Flood Relief 2026,WASH,Jerry Can 20L,unit,39,231.25,219.43,0.0539,9018.75,2026-07-13 14:47:21,Bank Transfer (NEFT),0,
INV-000032,VEND-0240,Maharashtra,core,2020-08-14,5.938,Assam Flood Relief 2026,Food & Nutrition,Salt (kg),kg,263,20.14,20.28,-0.0069,5296.82,2026-07-23 11:13:41,Bank Transfer (NEFT),0,
INV-000033,VEND-0633,Himachal Pradesh,core,2022-05-08,3.535,Odisha Cyclone Relief 2025,Shelter & NFI,Family Tent,unit,64,5408.11,4981.93,0.0855,346119.04,2025-11-19 14:04:39,Bank Transfer (NEFT),0,
INV-000034,VEND-0525,Himachal Pradesh,core,2021-08-05,4.923,Assam Flood Relief 2026,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,12,495.33,470.05,0.0538,5943.96,2026-07-08 23:12:51,Bank Transfer (RTGS),0,
INV-000035,VEND-0351,Odisha,regular,2022-02-25,4.326,Assam Flood Relief 2026,WASH,ORS Packet,packet,513,19.5,18.56,0.0506,10003.5,2026-06-24 12:13:36,Cheque,0,
INV-000036,VEND-0560,Himachal Pradesh,regular,2024-06-26,0.975,Maharashtra Drought Relief 2025,Food & Nutrition,Salt (kg),kg,443,22.36,21.25,0.0522,9905.48,2025-06-17 17:53:46,Bank Transfer (RTGS),0,
INV-000037,VEND-0161,Himachal Pradesh,core,2014-10-04,10.705,Maharashtra Drought Relief 2025,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,47,450,457.95,-0.0174,21150,2025-06-18 8:41:35,Bank Transfer (NEFT),0,
INV-000038,VEND-0415,Maharashtra,core,2024-08-25,0.876,Assam Flood Relief 2025,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,16,1012.73,1033.6,-0.0202,16203.68,2025-07-11 12:28:43,UPI,0,
INV-000039,VEND-0562,Kerala,regular,2013-08-22,12.2,Odisha Cyclone Relief 2025,Logistics & Transport,Truck Hire (per trip),trip,3,7959.2,7328.05,0.0861,23877.6,2025-11-03 15:16:57,UPI,0,
INV-000040,VEND-0264,West Bengal,core,2017-06-20,9.065,Assam Flood Relief 2026,Logistics & Transport,Truck Hire (per trip),trip,1,7359.52,6705.46,0.0975,7359.52,2026-07-14 12:19:25,UPI,0,
INV-000041,VEND-0111,Assam,regular,2015-04-19,11.272,Bihar Flood Relief 2026,Food & Nutrition,Ready-to-eat Meal Packet,packet,645,68.68,72.68,-0.055,44298.6,2026-07-27 13:11:04,UPI,0,
INV-000042,VEND-0548,Bihar,core,2014-09-23,10.795,Assam Flood Relief 2025,Medical & Health,Disposable Gloves (box of 100),box,37,211.83,215.77,-0.0183,7837.71,2025-07-10 11:51:07,UPI,0,
INV-000043,VEND-0287,Himachal Pradesh,core,2023-09-02,1.933,Kerala Landslide Relief 2025,Medical & Health,First Aid Kit,kit,82,540.93,573.52,-0.0568,44356.26,2025-08-08 10:41:14,Bank Transfer (NEFT),0,
INV-000044,VEND-0011,Bihar,regular,2019-03-08,7.277,Bihar Flood Relief 2026,Food & Nutrition,Pulses/Dal (kg),kg,227,96.02,98.68,-0.027,21796.54,2026-06-17 17:52:08,Bank Transfer (NEFT),0,
INV-000045,VEND-0266,Bihar,regular,2016-08-06,9.982,Himachal Cloudburst Relief 2026,Clothing & Bedding,Children's Clothing Set,set,15,265.15,268.07,-0.0109,3977.25,2026-07-31 12:28:38,Bank Transfer (RTGS),0,
INV-000046,VEND-0082,Odisha,regular,2018-06-20,8.112,Bihar Flood Relief 2026,WASH,Sanitary Napkin Pack,pack,567,65.8,58.99,0.1154,37308.6,2026-07-31 3:41:46,Bank Transfer (RTGS),0,
INV-000047,VEND-0222,Maharashtra,regular,2023-07-20,2.965,Bihar Flood Relief 2026,Medical & Health,ORS + Zinc Kit,kit,37,43.13,46.44,-0.0713,1595.81,2026-07-07 15:48:48,Bank Transfer (RTGS),0,
INV-000048,VEND-0410,Odisha,occasional,2016-06-05,10.037,Bihar Flood Relief 2026,Shelter & NFI,Family Tent,unit,5,5659.07,4425.94,0.2786,28295.35,2026-06-19 21:04:38,Bank Transfer (NEFT),0,
INV-000049,VEND-0135,Kerala,regular,2022-04-19,4.263,Himachal Cloudburst Relief 2026,Medical & Health,Paracetamol Strip (10 tabs),strip,45,14.01,13.97,0.0029,630.45,2026-07-24 15:05:16,Bank Transfer (NEFT),0,
INV-000050,VEND-0199,Bihar,regular,2018-06-26,8.049,Assam Flood Relief 2026,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,34,401.79,415.25,-0.0324,13660.86,2026-07-14 16:35:30,Bank Transfer (RTGS),0,
INV-000051,VEND-0260,Himachal Pradesh,regular,2014-09-26,11.066,Odisha Cyclone Relief 2025,WASH,ORS Packet,packet,91,21.3,21.38,-0.0037,1938.3,2025-10-20 9:38:36,Bank Transfer (RTGS),0,
INV-000052,VEND-0247,Maharashtra,regular,2017-11-10,7.973,Odisha Cyclone Relief 2025,Shelter & NFI,Family Tent,unit,23,4269.46,4596.02,-0.0711,98197.58,2025-10-31 12:27:49,UPI,0,
INV-000053,VEND-0016,Kerala,regular,2015-03-29,11.321,Bihar Flood Relief 2026,Logistics & Transport,Porter/Loading Labour (per day),day,5,630.93,635.16,-0.0067,3154.65,2026-07-24 8:28:10,Bank Transfer (NEFT),0,
INV-000054,VEND-0363,Odisha,core,2021-05-24,4.126,Maharashtra Drought Relief 2025,Shelter & NFI,Family Tent,unit,23,3948.04,4308.76,-0.0837,90804.92,2025-07-09 13:15:33,Bank Transfer (NEFT),0,
INV-000055,VEND-0557,Kerala,regular,2019-05-27,7.162,Himachal Cloudburst Relief 2026,WASH,ORS Packet,packet,235,19.88,20.86,-0.047,4671.8,2026-07-25 14:24:34,Bank Transfer (NEFT),0,
INV-000056,VEND-0308,Maharashtra,regular,2018-06-06,7.036,Assam Flood Relief 2025,WASH,Water Purification Tablet (strip),strip,263,16.02,16.98,-0.0565,4213.26,2025-06-19 11:17:05,UPI,0,
INV-000057,VEND-0264,West Bengal,core,2017-06-20,7.784,Maharashtra Drought Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,2,590.15,562.42,0.0493,1180.3,2025-04-02 16:50:09,UPI,0,
INV-000058,VEND-0531,Kerala,regular,2020-04-20,6.201,Assam Flood Relief 2026,Clothing & Bedding,Adult Clothing Set,set,2,451.13,439.11,0.0274,902.26,2026-07-03 16:40:42,Bank Transfer (RTGS),0,
INV-000059,VEND-0519,Assam,core,2019-07-26,7.025,Himachal Cloudburst Relief 2026,Shelter & NFI,Solar Lantern,unit,72,739.06,743.33,-0.0057,53212.32,2026-08-04 0:28:44,UPI,1,odd_hour_transaction
INV-000060,VEND-0436,Himachal Pradesh,regular,2012-08-20,12.961,Maharashtra Drought Relief 2025,Medical & Health,Paracetamol Strip (10 tabs),strip,421,14.85,14.08,0.0547,6251.85,2025-08-06 12:52:33,UPI,0,
INV-000061,VEND-0477,Kerala,regular,2021-10-31,3.997,Odisha Cyclone Relief 2025,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,105,992.19,1078.61,-0.0801,104179.95,2025-10-30 9:08:37,Bank Transfer (NEFT),0,
INV-000062,VEND-0404,Odisha,core,2017-12-01,8.575,Assam Flood Relief 2026,Logistics & Transport,Truck Hire (per trip),trip,8,6788.77,6689.28,0.0149,54310.16,2026-06-29 14:34:08,Bank Transfer (NEFT),0,
INV-000063,VEND-0624,Bihar,regular,2023-02-23,2.456,Maharashtra Drought Relief 2025,Food & Nutrition,Salt (kg),kg,83,20.7,17.96,0.1526,1718.1,2025-08-08 16:54:06,Bank Transfer (NEFT),0,
INV-000064,VEND-0002,Kerala,regular,2019-08-24,5.651,Maharashtra Drought Relief 2025,Food & Nutrition,Ready-to-eat Meal Packet,packet,611,59.89,70.27,-0.1477,36592.79,2025-04-18 18:45:38,UPI,0,
INV-000065,VEND-0216,West Bengal,occasional,2021-06-04,4.17,Kerala Landslide Relief 2025,Food & Nutrition,Cooking Oil (litre),litre,108,167.08,145.07,0.1517,18044.64,2025-08-05 17:40:31,Bank Transfer (NEFT),0,
INV-000066,VEND-0424,Himachal Pradesh,core,2019-01-27,7.496,Assam Flood Relief 2026,Food & Nutrition,Wheat Flour (kg),kg,492,41.08,38.15,0.0768,20211.36,2026-07-27 8:17:58,Bank Transfer (RTGS),0,
INV-000067,VEND-0435,West Bengal,core,2013-03-26,12.348,Assam Flood Relief 2025,WASH,Bathing Soap,unit,34,27.08,28.18,-0.039,920.72,2025-07-31 11:42:38,UPI,0,
INV-000068,VEND-0073,Bihar,occasional,2017-11-26,7.751,Maharashtra Drought Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,1,668.81,554.87,0.2053,668.81,2025-08-27 10:44:40,Bank Transfer (NEFT),0,
INV-000069,VEND-0605,Kerala,occasional,2022-09-20,3.797,Bihar Flood Relief 2026,Medical & Health,First Aid Kit,kit,5,551.25,555.56,-0.0078,2756.25,2026-07-08 15:43:38,UPI,0,
INV-000070,VEND-0318,Bihar,regular,2014-12-27,11.57,Assam Flood Relief 2026,WASH,Bathing Soap,unit,27,28.58,28.22,0.0128,771.66,2026-07-23 15:21:37,UPI,0,
INV-000071,VEND-0326,West Bengal,regular,2021-05-07,4.123,Assam Flood Relief 2025,Shelter & NFI,Family Tent,unit,34,4758.81,4467.39,0.0652,161799.54,2025-06-21 13:29:14,UPI,0,
INV-000072,VEND-0431,Himachal Pradesh,occasional,2015-02-18,11.368,Bihar Flood Relief 2026,Shelter & NFI,Blanket,unit,14,440.91,378.19,0.1658,6172.74,2026-07-02 11:26:40,Bank Transfer (NEFT),0,
INV-000073,VEND-0619,Bihar,core,2019-02-18,6.086,Maharashtra Drought Relief 2025,Food & Nutrition,Wheat Flour (kg),kg,182,31.84,31.43,0.013,5794.88,2025-03-21 15:56:30,Cheque,0,
INV-000074,VEND-0222,Maharashtra,regular,2023-07-20,2.352,Odisha Cyclone Relief 2025,Medical & Health,First Aid Kit,kit,35,514.59,522.69,-0.0155,18010.65,2025-11-25 12:57:57,Bank Transfer (NEFT),0,
INV-000075,VEND-0522,Himachal Pradesh,regular,2020-02-23,5.084,Maharashtra Drought Relief 2025,Medical & Health,ORS + Zinc Kit,kit,5,47.93,44.27,0.0827,239.65,2025-03-25 14:39:26,Bank Transfer (NEFT),0,
INV-000076,VEND-0148,West Bengal,regular,2022-05-24,3.277,Kerala Landslide Relief 2025,Food & Nutrition,Pulses/Dal (kg),kg,10292,109.24,99.2,0.1012,1124298.08,2025-09-02 11:34:37,Cheque,1,large_transaction
INV-000077,VEND-0586,Odisha,regular,2022-08-05,2.987,Assam Flood Relief 2025,WASH,ORS Packet,packet,13563,18.2,19.19,-0.0516,246846.6,2025-07-31 10:06:47,Bank Transfer (NEFT),1,large_transaction
INV-000078,VEND-0038,Kerala,regular,2016-07-26,9.246,Odisha Cyclone Relief 2025,Logistics & Transport,Truck Hire (per trip),trip,2,6987.87,7221.34,-0.0323,13975.74,2025-10-24 11:20:28,Bank Transfer (NEFT),0,
INV-000079,VEND-0438,Assam,regular,2018-10-20,6.79,Maharashtra Drought Relief 2025,Clothing & Bedding,Winter Jacket,unit,9,595.52,669.96,-0.1111,5359.68,2025-08-04 17:47:49,UPI,0,
INV-000080,VEND-0131,Bihar,regular,2013-09-15,12.835,Himachal Cloudburst Relief 2026,Clothing & Bedding,Adult Clothing Set,set,14,363.63,385.58,-0.0569,5090.82,2026-07-17 13:32:18,Bank Transfer (RTGS),0,
INV-000081,VEND-0593,West Bengal,regular,2025-07-08,0.082,Assam Flood Relief 2025,Clothing & Bedding,Bedsheet,unit,21,207.96,205.36,0.0127,4367.16,2025-08-07 7:18:54,Bank Transfer (NEFT),0,
INV-000082,VEND-0128,West Bengal,core,2018-10-01,7.819,Bihar Flood Relief 2026,Food & Nutrition,Salt (kg),kg,332,20.56,19.04,0.0798,6825.92,2026-07-27 16:08:23,Bank Transfer (NEFT),0,
INV-000083,VEND-0173,Bihar,regular,2015-12-30,10.554,Assam Flood Relief 2026,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,15,466.17,416.86,0.1183,6992.55,2026-07-20 6:13:50,Bank Transfer (RTGS),0,
INV-000084,VEND-0187,Odisha,regular,2016-01-26,9.413,Maharashtra Drought Relief 2025,Clothing & Bedding,Children's Clothing Set,set,5,255.69,266.67,-0.0412,1278.45,2025-06-25 12:35:17,UPI,0,
INV-000085,VEND-0085,Kerala,core,2019-03-06,7.411,Bihar Flood Relief 2026,Food & Nutrition,Cooking Oil (litre),litre,145,179.93,159.87,0.1255,26089.85,2026-08-03 8:38:08,UPI,0,
INV-000086,VEND-0130,Himachal Pradesh,regular,2021-08-07,3.688,Maharashtra Drought Relief 2025,Shelter & NFI,Rope (50m coil),coil,52,272.1,269.32,0.0103,14149.2,2025-04-15 12:54:16,Bank Transfer (NEFT),0,
INV-000087,VEND-0552,Odisha,regular,2020-09-29,4.772,Maharashtra Drought Relief 2025,Food & Nutrition,Cooking Oil (litre),litre,1829,151.78,142.45,0.0655,277605.62,2025-07-08 14:59:46,UPI,0,
INV-000088,VEND-0622,Bihar,regular,2021-01-02,4.646,Kerala Landslide Relief 2025,Food & Nutrition,Salt (kg),kg,221,19.72,17.83,0.106,4358.12,2025-08-26 8:20:52,Bank Transfer (NEFT),0,
INV-000089,VEND-0268,Maharashtra,regular,2015-04-21,10.483,Odisha Cyclone Relief 2025,Medical & Health,First Aid Kit,kit,18,528.49,534.73,-0.0117,9512.82,2025-10-14 17:39:17,UPI,0,
INV-000090,VEND-0098,Maharashtra,core,2014-05-18,11.266,Maharashtra Drought Relief 2025,Food & Nutrition,Wheat Flour (kg),kg,343,33.84,35.27,-0.0405,11607.12,2025-08-23 11:20:02,Bank Transfer (NEFT),0,
INV-000091,VEND-0113,Odisha,regular,2013-12-14,11.765,Assam Flood Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,7,525.13,567.95,-0.0754,3675.91,2025-09-19 15:32:14,UPI,0,
INV-000092,VEND-0449,Himachal Pradesh,core,2018-06-16,7.17,Assam Flood Relief 2025,Food & Nutrition,Sugar (kg),kg,705,50.89,51.47,-0.0113,35877.45,2025-08-17 8:08:27,Bank Transfer (NEFT),0,
INV-000093,VEND-0486,Odisha,regular,2017-05-04,8.468,Kerala Landslide Relief 2025,Clothing & Bedding,Bedsheet,unit,22,209.59,197.33,0.0621,4610.98,2025-10-22 12:02:52,Bank Transfer (NEFT),0,
INV-000094,VEND-0179,Odisha,occasional,2016-10-07,9.73,Assam Flood Relief 2026,Shelter & NFI,Blanket,unit,6,419.02,351.99,0.1904,2514.12,2026-07-01 11:16:23,UPI,0,
INV-000095,VEND-0419,Kerala,regular,2026-04-01,0.197,Bihar Flood Relief 2026,Medical & Health,Paracetamol Strip (10 tabs),strip,154,12.93,14.21,-0.0901,1991.22,2026-06-12 17:30:09,Bank Transfer (NEFT),0,
INV-000096,VEND-0504,Odisha,regular,2017-12-12,7.666,Assam Flood Relief 2025,Food & Nutrition,Wheat Flour (kg),kg,69,27.32,33.26,-0.1786,1885.08,2025-08-12 11:27:04,UPI,0,
INV-000097,VEND-0098,Maharashtra,core,2014-05-18,10.916,Maharashtra Drought Relief 2025,Food & Nutrition,Rice (kg),kg,656,36.98,39.88,-0.0727,24258.88,2025-04-17 17:09:56,Bank Transfer (NEFT),0,
INV-000098,VEND-0534,Assam,regular,2014-03-18,11.387,Maharashtra Drought Relief 2025,Shelter & NFI,Blanket,unit,48,371.79,335.32,0.1088,17845.92,2025-08-06 7:07:17,Cheque,1,subtle_combination_anomaly
INV-000099,VEND-0449,Himachal Pradesh,core,2018-06-16,7.023,Assam Flood Relief 2025,Food & Nutrition,Sugar (kg),kg,67,51.74,51.2,0.0105,3466.58,2025-06-24 15:49:48,UPI,0,
INV-000100,VEND-0595,Assam,core,2016-04-17,9.32,Assam Flood Relief 2025,Medical & Health,Disposable Gloves (box of 100),box,9,244.01,233.72,0.044,2196.09,2025-08-12 11:58:57,UPI,0,
INV-000101,VEND-0561,Himachal Pradesh,core,2020-10-22,5.758,Assam Flood Relief 2026,Medical & Health,First Aid Kit,kit,30,535.1,587.62,-0.0894,16053,2026-07-26 6:12:25,UPI,0,
INV-000102,VEND-0485,Himachal Pradesh,core,2014-02-11,12.389,Assam Flood Relief 2026,Logistics & Transport,Porter/Loading Labour (per day),day,4,644.12,656.5,-0.0189,2576.48,2026-07-03 17:00:14,Bank Transfer (NEFT),0,
INV-000103,VEND-0034,Himachal Pradesh,regular,2014-03-08,11.45,Kerala Landslide Relief 2025,WASH,Water Purification Tablet (strip),strip,71,18.62,17.31,0.0757,1322.02,2025-08-19 11:20:05,Bank Transfer (NEFT),0,
INV-000104,VEND-0624,Bihar,regular,2023-02-23,2.47,Assam Flood Relief 2025,Food & Nutrition,Sugar (kg),kg,116,49.62,44.4,0.1176,5755.92,2025-08-13 14:32:32,Bank Transfer (RTGS),0,
INV-000105,VEND-0309,Odisha,regular,2019-10-13,5.697,Maharashtra Drought Relief 2025,Food & Nutrition,Wheat Flour (kg),kg,71,33.82,32.63,0.0365,2401.22,2025-06-24 13:59:15,Bank Transfer (NEFT),0,
INV-000106,VEND-0102,Odisha,regular,2017-06-09,9.057,Assam Flood Relief 2026,Logistics & Transport,Packaging Sacks (bundle of 50),bundle,30,440.34,429.87,0.0244,13210.2,2026-06-30 10:31:16,UPI,0,
INV-000107,VEND-0477,Kerala,regular,2021-10-31,3.953,Assam Flood Relief 2025,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,15,1101.01,1076.23,0.023,16515.15,2025-10-14 19:19:04,UPI,0,
INV-000108,VEND-0028,Assam,core,2020-10-06,5.708,Bihar Flood Relief 2026,Medical & Health,Antiseptic Solution 500ml,bottle,123,96.43,97.4,-0.01,11860.89,2026-06-22 19:17:28,Bank Transfer (RTGS),0,
INV-000109,VEND-0034,Himachal Pradesh,regular,2014-03-08,11.285,Maharashtra Drought Relief 2025,WASH,Bleaching Powder (kg),kg,179,57.84,68.27,-0.1528,10353.36,2025-06-20 13:17:32,UPI,0,
INV-000110,VEND-0207,West Bengal,core,2023-02-03,2.511,Maharashtra Drought Relief 2025,Shelter & NFI,Blanket,unit,25,335.47,336.27,-0.0024,8386.75,2025-08-08 12:19:56,Bank Transfer (NEFT),0,
INV-000111,VEND-0283,Bihar,regular,2023-03-04,3.321,Assam Flood Relief 2026,Food & Nutrition,Sugar (kg),kg,214,51.66,44.54,0.1599,11055.24,2026-06-29 18:29:01,Bank Transfer (RTGS),0,
INV-000112,VEND-0583,Odisha,core,2017-03-14,8.353,Kerala Landslide Relief 2025,Medical & Health,Antiseptic Solution 500ml,bottle,10,94.21,85.44,0.1026,942.1,2025-07-21 9:46:55,Bank Transfer (NEFT),0,
INV-000113,VEND-0328,Maharashtra,regular,2019-02-27,7.313,Assam Flood Relief 2026,Shelter & NFI,Family Tent,unit,8,4852.25,4748.37,0.0219,38818,2026-06-21 16:39:04,Bank Transfer (NEFT),0,
INV-000114,VEND-0339,Odisha,core,2024-06-15,1.336,Assam Flood Relief 2025,Logistics & Transport,Porter/Loading Labour (per day),day,9,633.37,575.16,0.1012,5700.33,2025-10-16 9:16:46,UPI,0,
INV-000115,VEND-0036,West Bengal,regular,2023-07-07,2.07,Assam Flood Relief 2025,Logistics & Transport,Diesel (litre),litre,66,101.2,98.18,0.0308,6679.2,2025-08-01 15:16:09,Bank Transfer (NEFT),0,
INV-000116,VEND-0537,West Bengal,regular,2015-02-06,10.565,Kerala Landslide Relief 2025,Medical & Health,Paracetamol Strip (10 tabs),strip,586,14.32,12.94,0.1066,8391.52,2025-08-31 23:15:04,Bank Transfer (NEFT),0,
INV-000117,VEND-0065,Bihar,regular,2018-02-09,7.176,Maharashtra Drought Relief 2025,Clothing & Bedding,Bedsheet,unit,17,164.1,191.75,-0.1442,2789.7,2025-04-14 13:50:45,Bank Transfer (NEFT),0,
INV-000118,VEND-0637,Kerala,regular,2020-07-03,5.933,Bihar Flood Relief 2026,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,18,1055.05,1079.23,-0.0224,18990.9,2026-06-09 12:09:44,Cheque,0,
